[0, 1, 2, 3, 4, 5, 6, 7]
[0]
running on  <class 'twisted.internet.kqreactor.KQueueReactor'>
         1117 function calls (1115 primitive calls) in 19.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:471(stopProducing)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:642(addSystemEventTrigger)
        1    0.000    0.000    0.000    0.000 {posix.write}
        1    0.000    0.000    0.000    0.000 tcp_echo_server_tx.py:17(connectionMade)
       21    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {hasattr}
        2    0.000    0.000    0.000    0.000 {posix.read}
        1    0.000    0.000    0.000    0.000 {signal.siginterrupt}
      4/2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/declarations.py:825(_normalizeargs)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/deprecate.py:310(__init__)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/address.py:62(__init__)
        6    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/deprecate.py:314(__getattribute__)
       26    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:1125(logPrefix)
       33    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/_newtls.py:220(registerProducer)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:312(_isSendBufferFull)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/weakref.py:414(keys)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/process.py:41(reapAllProcesses)
        1    0.000    0.000    0.000    0.000 {posix.pipe}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:330(addTrigger)
        1    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/threading.py:1152(currentThread)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/weakref.py:282(__init__)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/inspect.py:59(isclass)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:246(__init__)
        4    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/_newtls.py:207(loseConnection)
        5    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/weakref.py:342(get)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/weakref.py:320(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:178(__init__)
        1    0.000    0.000    0.000    0.000 tcp_echo_server_tx.py:24(buildProtocol)
        1    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
        9    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:303(logPrefix)
        5    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:143(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/address.py:36(__init__)
        1    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/inspect.py:340(getmro)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/deprecate.py:319(__setattr__)
        4    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {signal.set_wakeup_fd}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:150(<lambda>)
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       12    0.000    0.000    0.000    0.000 {hash}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:86(registerProducer)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:574(stop)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:691(_reallyStartRunning)
        8    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/threading.py:64(_note)
        1    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/threading.py:983(ident)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/protocol.py:539(connectionLost)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:386(loseConnection)
        2    0.000    0.000    0.000    0.000 {issubclass}
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/protocol.py:101(stopFactory)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/log.py:600(_emit)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/protocol.py:517(logPrefix)
        4    0.000    0.000    0.000    0.000 {callable}
        2    0.000    0.000    0.000    0.000 {iter}
        3    0.000    0.000    0.000    0.000 {zope.interface._zope_interface_coptimizations.implementedBy}
        5    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/log.py:132(logPrefix)
        1    0.000    0.000    0.000    0.000 {signal.getsignal}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



