"repo_name","ref_name","ref_sha1"
"crossbario/autobahn-python","refs/heads/newapi-asyncio-component","e9240a32efa4ea6f826bf54a262f665218e75c6f"
"crossbario/autobahn-python","refs/heads/override_correlation","67dc74ce9bdb215688f1ad5540af8e01ae069069"
"crossbario/autobahn-python","refs/heads/rel_17_10_1","d8f954b3c9f630a9b7898f28e7fbcce4d3ae3c0e"
"crossbario/autobahn-python","refs/heads/rel_17_6_2","bc2a1b37f165f68622c017f61190411278eecbd0"
"crossbario/autobahn-python","refs/heads/rel_17_7_1","8b905a96b232fea6f6b1941009e27237217337ac"
"crossbario/autobahn-python","refs/heads/rel_17_8_1","fa416b58abe13f1b3f59b8f3036c36994554b5f1"
"crossbario/autobahn-python","refs/heads/rel_17_9_2","420083e7dc925821456574213dd20cf2e0ac0f75"
"crossbario/autobahn-python","refs/heads/rel_17_9_3","002a0a288e625f3c26c54cfb130e4d1806a298de"
"crossbario/autobahn-python","refs/heads/rel_18_3","88963f1a7996ad1b0e172625211e0c630ece552c"
"crossbario/autobahn-python","refs/heads/reuse_reconn_session","781d96e32a04998ba59946b07c6696b28974d8f4"
"crossbario/autobahn-python","refs/heads/tls-options-component","949430e3466e08271654f5c990697257b6d40c01"
"crossbario/autobahn-python","refs/heads/update_wstest","ce67bd468fd7bde16f2331938acfa188c6b0dbcd"
"crossbario/autobahn-python","refs/remotes/jmgurney/csutil","7b9a1d29d7c35beff2df33710407f4f9ae2229a4"
"crossbario/autobahn-python","refs/remotes/jmgurney/csutilb","8c2b574560011dabf750713f7f610b4033bb54cc"
"crossbario/autobahn-python","refs/remotes/jmgurney/master","ca0df71681b1e32f7878af14cb8cb7053ac0b82f"
"crossbario/autobahn-python","refs/remotes/meejah/656-publish-options","037f00a05adab4e0f4060885683815b80601feae"
"crossbario/autobahn-python","refs/remotes/meejah/async_request_errbacks","75db64c3b064137ce7646d8ba6782d11619b17f8"
"crossbario/autobahn-python","refs/remotes/meejah/asyncio-component-txaio","aebdc2c0cee58b044847899d320a98f44c759a53"
"crossbario/autobahn-python","refs/remotes/meejah/authentication-improvements.2","73795c8b2cafbbd666fd379334dc3425246c6d12"
"crossbario/autobahn-python","refs/remotes/meejah/authentication-improvements.3","48074d3248aa0d345cb0831dcb6491abd0069231"
"crossbario/autobahn-python","refs/remotes/meejah/cleanups2","e4e911760ea2fdb880958ab6843fab08954f5fb3"
"crossbario/autobahn-python","refs/remotes/meejah/component-errors-on-no-auth","d232a1544a6f6128fd2f6fb25c1c2c0614c5d40f"
"crossbario/autobahn-python","refs/remotes/meejah/connection-error-handling","a24ee0ac4ed8bd1ae51728b078eebe44cda74701"
"crossbario/autobahn-python","refs/remotes/meejah/default-onchallenge-impl","b929e57c02ea564af2e4fd382841c8b9f96e3209"
"crossbario/autobahn-python","refs/remotes/meejah/dev-txaio","df4a18b52c2196257a5ba7f267fc0525097baa51"
"crossbario/autobahn-python","refs/remotes/meejah/doc-fixups","5771f3eb27e56561fe6f6087d15e014bfda12774"
"crossbario/autobahn-python","refs/remotes/meejah/documentation-build","6db99318e1e86b6f4cc40059fb4324b5579791bb"
"crossbario/autobahn-python","refs/remotes/meejah/errback-api","c21e59cc7918f0310c8e7bc9dcc01cd8a1771ec9"
"crossbario/autobahn-python","refs/remotes/meejah/event-retention-examples","2c0bc5b1442efcd9608a9c4157e74959aa5e1d05"
"crossbario/autobahn-python","refs/remotes/meejah/examples-improvements","7aa82017f88d5abe13e8c1b72201c55165e92db3"
"crossbario/autobahn-python","refs/remotes/meejah/examples-js","9a5d11e044fcee93aee5f68f511cf09375bcf3c0"
"crossbario/autobahn-python","refs/remotes/meejah/examples-rework","d6f75d39447ed12e7e0fcad7508ad0355aca724e"
"crossbario/autobahn-python","refs/remotes/meejah/filter-exclude-list","e07e4e466cd34de35b0cdf767e12b5716672b641"
"crossbario/autobahn-python","refs/remotes/meejah/fix-twisted-17","b1d4f58edf0ca7787eec8fe571a88064facadeea"
"crossbario/autobahn-python","refs/remotes/meejah/fix-utests","91527fb96317528e757315564772aabcfdcadc04"
"crossbario/autobahn-python","refs/remotes/meejah/issue388-ensure-text-keys","1d6c56f66c744d7c0c55e29861b42a3078f93814"
"crossbario/autobahn-python","refs/remotes/meejah/issue409-configurable-transports","5de60711bd02781b9a98e5e767ce4d41ba9a2d60"
"crossbario/autobahn-python","refs/remotes/meejah/issue409-transport-config-no-retry","460b4dcaf3c720618f48ccb2889199395fc9a146"
"crossbario/autobahn-python","refs/remotes/meejah/issue409-transport-config-no-retry--squash","b44c77b377582a43dc1552f3785214bae843fa74"
"crossbario/autobahn-python","refs/remotes/meejah/issue409-transport-config-no-retry--squash1","1a2d573ac49ec91d0f840d43fed75ece617ce5e9"
"crossbario/autobahn-python","refs/remotes/meejah/issue409-transport-config-with-retry","4d8973c69dab574844618a901ba6dfd51b283cb1"
"crossbario/autobahn-python","refs/remotes/meejah/issue436-mock-upgrade","3aa7a2b977d5ef12c3cc315689b0cf69a4da3686"
"crossbario/autobahn-python","refs/remotes/meejah/issue437-run-examples","c5feb3152ca0986ade81494b0d8b75bd71e416bd"
"crossbario/autobahn-python","refs/remotes/meejah/issue444","8db76f8b2a7d518c478cad3b988d2ed14bdb1327"
"crossbario/autobahn-python","refs/remotes/meejah/issue445","b128812c63e69b320e440f641b3bf5e4b7acd3ef"
"crossbario/autobahn-python","refs/remotes/meejah/issue530-proxy-wss","46ec9e0925a8a774eda19ca8a654557f49a71439"
"crossbario/autobahn-python","refs/remotes/meejah/issue679-asyncio-rawsocket-from-izderadicka","5490ea724317378b9b2e13d04ea47dcc91e98428"
"crossbario/autobahn-python","refs/remotes/meejah/issue701-tests-and-more","f07aa66e0d1bdbab96df026fedf0b115d1d296d2"
"crossbario/autobahn-python","refs/remotes/meejah/issue709-js","84a40c61b87ef402458ae8906b7d237701857971"
"crossbario/autobahn-python","refs/remotes/meejah/issue752-async-on-connect","c103777dc213dffb31bd9ab559137624ad4b542c"
"crossbario/autobahn-python","refs/remotes/meejah/issue892-bytes","aebaedc46b5944fe56b3f94aa06c39e3fcfc98db"
"crossbario/autobahn-python","refs/remotes/meejah/log-fixes","91b7140046c6c3c14af5fec4908f91af375a3bae"
"crossbario/autobahn-python","refs/remotes/meejah/logging-refactor","d8c5a0a22373d92eb5819ff9e543b6d877b8c207"
"crossbario/autobahn-python","refs/remotes/meejah/master","54da8882eea3f4b1da62a6d3481556ab77720d41"
"crossbario/autobahn-python","refs/remotes/meejah/more-error-handling-squash","7bc66b346b67ffd47228439e768764dea953cdbd"
"crossbario/autobahn-python","refs/remotes/meejah/multisocket","2aa1d0d89669be005ba2344dcd88e01c22109a2c"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-asyncio-component","61ece45c2751dcb787004e3be7fd08e907ad9db9"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-check-transport-config","6037727de376dda8fdafcf14e521b7db15eb16a3"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements--transport-smart-class.rebase","7b204dfd02fbeb4e06021bd85ffa9db63da9475d"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements-squash","0707bf75087e46adeeb9286b05c0e523a22662b1"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.4","3f95cd962d240417692e584fd81d1e45172740b1"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.6","371de0adaa177a7135b32eb287a0486ce5492126"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.6--no-decorators","3cfcf7f958f9edf266ab2ccf40a002a8091bbf75"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.6-authentication","b40990ea7a1ae7c1ac21eba2b9729950cb612da5"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.6-decorators","c3812044980bd184c520b53154232d5ba882dee4"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-improvements.6-reg-sub-decorators","49021bf74bc4ff93d23f6641b47752f59f43bd39"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-joined-left","49a200d66d00d3fdc5904d63d3697afdeb589fe1"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-joined-left--service","73cb4a71a76aa8a185ce3e52cb76245dab4ce300"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-pubreg-decorator-example","4e7a79593ebb7d13cbbcbde7131d63685d5302da"
"crossbario/autobahn-python","refs/remotes/meejah/newapi-transport-options","1c4919d3e093f651b82725b05874c749c68ba67a"
"crossbario/autobahn-python","refs/remotes/meejah/prefixsubscribe","d61e156c2e5159c6cdea41d86b1b06ca206e71a3"
"crossbario/autobahn-python","refs/remotes/meejah/proxy-arg-documentation","fa71222df41378a2818e690e91e854f46cd01309"
"crossbario/autobahn-python","refs/remotes/meejah/rawsocket-closed","14b287bff27328bd176e547cb41ae97562911709"
"crossbario/autobahn-python","refs/remotes/meejah/refactor-transport","0f29634bdc9e030acc2587cdd925f7db39759e2a"
"crossbario/autobahn-python","refs/remotes/meejah/refactor-transport--newapi-examples","1ee11c794a6a7e38f2bd06fa8ddf41c85f0a008b"
"crossbario/autobahn-python","refs/remotes/meejah/refactor-transport--squash","d8485d74be4bc500138fe894cecb600f2b3a1fe1"
"crossbario/autobahn-python","refs/remotes/meejah/refactor-transport--squash2","5239e749343cd18e16b076f56b0ed29cdbb0a66a"
"crossbario/autobahn-python","refs/remotes/meejah/register-prefix","060e82e41ab6da539fecf53e265045cafeb3433b"
"crossbario/autobahn-python","refs/remotes/meejah/ticket-note","b9c88a6a31fdf1f62a213a3978f6be763dd377d1"
"crossbario/autobahn-python","refs/remotes/meejah/ticket1075-revoke-subscription-force-reregister","22e74b8b07eb743f49403a2f6f8e51363d1bc8b7"
"crossbario/autobahn-python","refs/remotes/meejah/ticket811-skipped-tests","d17a3cd23c3ed07e1971f32a507dea70a84dbe31"
"crossbario/autobahn-python","refs/remotes/meejah/tls-example","62a3bc1f6c0f17d6dbca5bbb61cc6f691e34b7f4"
"crossbario/autobahn-python","refs/remotes/meejah/tls-options-component","5323b81a8b73a206b8623b1b5f1e5e05060cc9ac"
"crossbario/autobahn-python","refs/remotes/meejah/transport-keys","d5b7fbdf47b5f16f290f934f01c35b43804effe0"
"crossbario/autobahn-python","refs/remotes/meejah/txaio-logging","885ebf235e600b61fa21224ece0f4089be6a3381"
"crossbario/autobahn-python","refs/remotes/meejah/txaio-logging-rebase","e430864497c7b10ca84932c0f6f1eb57cc22149e"
"crossbario/autobahn-python","refs/remotes/meejah/urls-are-bytes","9b85b80f271e551c3a3e529482e9c61867ca0041"
"crossbario/autobahn-python","refs/remotes/meejah/use-txaio-squash","5a627b137d427ec20c58f4eee4671da97692015d"
"crossbario/autobahn-python","refs/remotes/meejah/wamp-scram-prototype","1d48e9015a9b3ebcf7f7cb078edd9b96913c291a"
"crossbario/autobahn-python","refs/remotes/meejah/wampcra-auth-salted","dd7b0f698ce5c281961828b84e466e39da7dd652"
"crossbario/autobahn-python","refs/remotes/meejah/ws-reconnect-example","32486defd0553c6dbf007e1072908ff6e9dfc70a"
"crossbario/autobahn-python","refs/remotes/origin/HEAD","b655872292f488d2b7a8e2354354348c439d95b0"
"crossbario/autobahn-python","refs/remotes/origin/add_correlation_is_last","9ab29ef5570d10d3810cb006384881a724a9be5a"
"crossbario/autobahn-python","refs/remotes/origin/apprunner_tx_reconn","f2d19705696115ea04680c0215ff40d64317d013"
"crossbario/autobahn-python","refs/remotes/origin/big_polish","63474346301ed571c4189ddad41a6b4d16b7092c"
"crossbario/autobahn-python","refs/remotes/origin/cleanups2","102811ce835a1a729b7db5de826fe0584a13ffef"
"crossbario/autobahn-python","refs/remotes/origin/e2e","733b025c248334bfb3de7e17dc052ce2f1d9a448"
"crossbario/autobahn-python","refs/remotes/origin/examples-js","7891e9c0069c6e2f15be0fa61eef06406a4beb42"
"crossbario/autobahn-python","refs/remotes/origin/expand_msg_correlation","70c9a14ea680b7adbd7296ab8ffb1643657e383e"
